"Advantage and disadvantage of deposition technique","",""
"Deposition method","Advantage","Disadvantage"
"Dry method deposition","",""
"CVD","Very pure and dense film [ 116 ]","Reaction under high heat; complication of mass production; presence of toxic byproducts [ 116 ]"
"PVD","Excellent film uniformity and high process automation [ 116 ]","Problems with mass production [ 116 ]"
"PLD","High rate of film deposition [ 117 ] Can operate under vacuum/ambient gas [ 117 ]","Only covers a small area [ 117 ] Droplets in the film increase roughness [ 117 ]"
"RF magnetron sputtering","Deposition over a large area [ 117 ] Suitable for a wide range of substrates [ 117 ]","Expensive and dangerous [ 117 ]"
"AAVCD","Method that is both simple and adaptable [ 117 ] Low price [ 117 ]","The availability of single source precursors is restricted [ 117 ]"
"Electrospinning","Surface-to-volume ratio is high [ 117 ] The fibres tune-able porosity [ 117 ]","Not appropriate for large quantities of product [ 117 ]"
"Electron beam deposition","High deposition rates of up to (150 lm/min) are possible [ 117 ] Contamination is minimal [ 117 ] Composition under control [ 117 ]","The structure of a material (e.g., perovskites, soft matter, etc.) can be damaged/affected by high-energy electron irradiation [ 117 ]"
"APPJ","Deforms high-purity film; strong bond adhesion [ 118 , 119 ]","Not applicable to polymers substrates; slow growth rates in plasma interaction; need precise process control optimization [ 118 , 119 ]"
"Wet method deposition","",""
"Spin-coating","Uniform thickness of the film [ 116 ] Simple procedure [ 117 ]","Loss of considerable amounts of solution [ 116 ] Inefficient material utilization [ 117 ] Because of the tension effect, the surface is prone to non-uniformity [ 117 ]"
"Spraying","No loss of remedy [ 116 ]","Difficulties in optimizing the solvent mixing and solution adjustment processes [ 116 ]"
"Cast","Superior crystallinity [ 116 ]","Poor film homogeneity [ 116 ]"
"Inkjet","Computer-controlled; minimal material loss; rapid production of multilayer structures [ 116 ]","Ink requirements high conditions; droplet coalescence [ 116 ]"
"Screen printing","Simple manufacturing process [ 116 ]","Dense film [ 116 ]"
"Nanoimprint","patterning on a scale of tens of nanometers is possible at normal temperature and pressure [ 116 ]","The process is immature, and the equipment is costly [ 116 ]"
"Dipping","Formation of expansive films [ 116 ]","Dense film [ 116 ]"
"LB","Controlled accumulation of monolayers and subsequent layers [ 116 ]","The corresponding materials are in short supply [ 116 ]"
"Self-assembly","Monomolecular membrane exhibiting a high degree of orientation [ 116 ]","The corresponding materials are in short supply [ 116 ]"
"APPJ","Suitable to mica or polymers substrate using liquid precursors; enables high-concentration film growth for large-area coatings; scalable and low-cost production [ 118 , 119 ]","Non-uniformity surface; slow reaction kinematics; need preheating to improve bonding [ 118 , 119 ]"
